epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.71515,3.87699,3.72387,4.23303,0.00745,0.48148,0.00894,0.00232,4.85867,3.64376,4.16056,0.00010003,0.00010003,0.00010003
2,3.7128,3.94525,3.66534,4.19935,0.00683,0.4856,0.01092,0.00314,4.8592,3.6332,4.15672,0.000210106,0.000210106,0.000210106
3,4.68546,3.982,3.62156,4.14369,0.00689,0.48971,0.01102,0.00267,4.86391,3.62069,4.14837,0.000315655,0.000315655,0.000315655
4,5.57893,3.98568,3.52761,4.10011,0.00685,0.4856,0.01445,0.00351,4.87626,3.58196,4.12719,0.000416676,0.000416676,0.000416676
5,6.47506,3.84358,3.41682,4.04313,0.00676,0.48148,0.015,0.00348,4.89627,3.51669,4.07646,0.000513171,0.000513171,0.000513171
6,7.34902,3.80984,3.38895,3.97145,0.00682,0.48971,0.18384,0.03039,4.92305,3.56773,3.97216,0.000605139,0.000605139,0.000605139
7,8.2206,3.62215,3.25047,3.87197,0.00667,0.4856,0.01708,0.00302,4.893,3.42481,3.83056,0.000692579,0.000692579,0.000692579
8,9.19305,3.6682,3.21299,3.80391,0.0068,0.49383,0.058,0.00945,4.83214,3.38768,3.71013,0.000775493,0.000775493,0.000775493
9,10.1257,3.59019,3.18951,3.73536,0.00783,0.33487,0.02933,0.00581,4.30334,3.35542,3.39331,0.000853879,0.000853879,0.000853879
10,11.0441,3.45671,3.14524,3.64619,0.00786,0.2776,0.0266,0.00533,3.82697,3.66123,3.31533,0.000927738,0.000927738,0.000927738
11,11.9958,3.49901,3.12597,3.53372,0.34579,0.47325,0.13305,0.01578,3.80703,3.66967,3.33223,0.00099707,0.00099707,0.00099707
12,12.8822,3.35274,3.06459,3.45038,0.00758,0.28733,0.03875,0.00567,4.01384,3.34137,3.28721,0.00106188,0.00106188,0.00106188
13,13.7882,3.2038,3.02336,3.37036,0.00732,0.23417,0.01996,0.00374,3.64355,4.05426,3.55788,0.00108947,0.00108947,0.00108947
14,14.7867,3.15174,2.97926,3.29757,0.00882,0.25255,0.02045,0.00423,3.46742,3.74653,3.063,0.00106118,0.00106118,0.00106118
15,15.7405,3.09846,2.97595,3.2388,0.00436,0.32152,0.02926,0.00436,4.28508,3.48198,3.48543,0.00103288,0.00103288,0.00103288
16,16.6291,3.00528,2.94848,3.20353,0.677,0.33333,0.08512,0.01565,4.1773,3.37228,3.34153,0.00100459,0.00100459,0.00100459
17,17.524,2.96259,2.90017,3.12468,0.71955,0.04301,0.10414,0.01968,3.75146,3.38455,3.07554,0.000976293,0.000976293,0.000976293
18,18.4207,2.99686,2.92254,3.08475,0.44501,0.10089,0.08243,0.01983,4.17994,3.15229,3.21213,0.000947999,0.000947999,0.000947999
19,19.3147,2.99415,2.8801,3.03065,0.74568,0.22581,0.14346,0.04153,4.12582,3.27764,3.16475,0.000919704,0.000919704,0.000919704
20,20.1937,2.8733,2.8848,3.00994,0.83914,0.19355,0.25147,0.0726,4.14059,3.25263,3.14524,0.00089141,0.00089141,0.00089141
21,21.0793,2.8797,2.84367,2.95765,0.47434,0.27595,0.24223,0.08317,3.84734,3.14457,2.94704,0.000863116,0.000863116,0.000863116
22,21.9593,2.81704,2.82123,2.89558,0.45658,0.20656,0.13605,0.05507,3.55709,3.1458,2.76931,0.000834822,0.000834822,0.000834822
23,22.8335,2.75256,2.78485,2.85751,0.54122,0.31661,0.20286,0.0873,3.37646,3.1281,2.67847,0.000806528,0.000806528,0.000806528
24,23.6926,2.78056,2.7436,2.81463,0.56361,0.30397,0.27898,0.1145,3.49965,3.08258,2.7788,0.000778233,0.000778233,0.000778233
25,24.5674,2.67258,2.70599,2.74818,0.70538,0.35019,0.34858,0.139,3.40886,2.99366,2.86712,0.000749939,0.000749939,0.000749939
26,25.4466,2.64786,2.68861,2.70382,0.62323,0.32671,0.31057,0.15562,3.37128,2.93547,2.74022,0.000721645,0.000721645,0.000721645
27,26.3451,2.57917,2.69641,2.70707,0.65674,0.32616,0.30579,0.17754,3.33812,2.88279,2.79504,0.000693351,0.000693351,0.000693351
28,27.219,2.59674,2.64232,2.68971,0.66219,0.34926,0.31152,0.16484,3.12895,2.88818,2.64185,0.000665057,0.000665057,0.000665057
29,28.1115,2.53409,2.61686,2.66157,0.72077,0.35291,0.35964,0.18139,2.9779,2.90156,2.52614,0.000636762,0.000636762,0.000636762
30,28.9811,2.5228,2.56344,2.62517,0.71812,0.34448,0.36964,0.18207,2.96267,2.96397,2.46282,0.000608468,0.000608468,0.000608468
31,29.8598,2.54089,2.57945,2.5944,0.66916,0.27997,0.29826,0.13688,2.93791,2.92783,2.44789,0.000580174,0.000580174,0.000580174
32,30.7254,2.47072,2.52707,2.54789,0.65101,0.23218,0.2329,0.11643,2.87409,2.90323,2.39875,0.00055188,0.00055188,0.00055188
33,31.6207,2.4348,2.49387,2.52926,0.61695,0.23536,0.22021,0.12004,2.86926,2.88899,2.37163,0.000523586,0.000523586,0.000523586
34,32.5171,2.44967,2.49899,2.50995,0.67992,0.31634,0.25853,0.14066,2.83737,2.92098,2.34431,0.000495291,0.000495291,0.000495291
35,33.3954,2.36016,2.47554,2.4703,0.69604,0.35683,0.31616,0.18119,2.76805,2.87195,2.32095,0.000466997,0.000466997,0.000466997
36,34.2851,2.37374,2.47744,2.44462,0.7148,0.40974,0.40029,0.2296,2.93352,2.84167,2.35035,0.000438703,0.000438703,0.000438703
37,35.1694,2.35162,2.46339,2.47736,0.79052,0.41723,0.42157,0.23616,2.99849,2.81585,2.37886,0.000410409,0.000410409,0.000410409
38,36.0621,2.38652,2.4497,2.42425,0.80212,0.43117,0.42883,0.24215,2.82338,2.82971,2.31361,0.000382115,0.000382115,0.000382115
39,36.9549,2.2889,2.39731,2.41581,0.8138,0.44604,0.43082,0.23951,2.70888,2.8859,2.26626,0.00035382,0.00035382,0.00035382
40,37.8464,2.27819,2.4175,2.37431,0.71874,0.41152,0.4151,0.24459,2.67278,2.85418,2.24411,0.000325526,0.000325526,0.000325526
41,39.3632,2.31058,2.81637,2.32058,0.71026,0.44669,0.42922,0.27709,2.62828,2.7751,2.21434,0.000297232,0.000297232,0.000297232
42,40.2797,2.3018,2.71288,2.30819,0.71041,0.43781,0.43659,0.30877,2.62833,2.74409,2.2105,0.000268938,0.000268938,0.000268938
43,41.1521,2.27814,2.61821,2.25872,0.72748,0.45427,0.43421,0.2982,2.62108,2.7906,2.18833,0.000240644,0.000240644,0.000240644
44,42.0197,2.20197,2.60687,2.24437,0.73897,0.43781,0.43094,0.29032,2.58802,2.81046,2.15731,0.000212349,0.000212349,0.000212349
45,42.8914,2.28517,2.62949,2.27376,0.72783,0.4321,0.42664,0.29038,2.53457,2.81145,2.10442,0.000184055,0.000184055,0.000184055
46,43.762,2.21576,2.60903,2.30838,0.742,0.44634,0.43488,0.30174,2.47817,2.7503,2.07624,0.000155761,0.000155761,0.000155761
47,44.6202,2.197,2.59064,2.26484,0.75231,0.44856,0.44277,0.31885,2.42083,2.675,2.06155,0.000127467,0.000127467,0.000127467
48,45.4811,2.15408,2.54442,2.19052,0.75985,0.45401,0.44353,0.32808,2.37885,2.64017,2.04853,9.91726e-05,9.91726e-05,9.91726e-05
49,46.3425,2.18383,2.52348,2.24592,0.7388,0.4459,0.44835,0.32488,2.3622,2.61091,2.04364,7.08784e-05,7.08784e-05,7.08784e-05
50,47.195,2.09673,2.49238,2.18116,0.74586,0.43369,0.4558,0.33119,2.35892,2.60056,2.03742,4.25842e-05,4.25842e-05,4.25842e-05
