epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.62379,3.88859,14.8091,4.20542,0.0048,0.31355,0.00733,0.00156,4.96464,14.581,3.95336,0.0937,0.0007,0.0007
2,4.99297,3.93438,13.5863,3.71398,0.0048,0.31355,0.00733,0.00156,nan,nan,nan,0.0864852,0.00148515,0.00148515
3,7.39983,3.70973,12.0856,3.24486,0.0048,0.31355,0.00733,0.00156,nan,nan,nan,0.0792545,0.00225446,0.00225446
4,9.76543,3.59169,11.9795,3.07611,0.00408,0.04527,0.00233,0.0006,nan,nan,nan,0.0720079,0.00300793,0.00300793
5,12.0466,3.47181,11.8655,2.9963,0.33446,0.08642,0.00072,0.00017,nan,nan,nan,0.0647456,0.00374556,0.00374556
6,14.2838,3.54032,12.0805,3.09321,0.00151,0.0823,0.00129,0.00031,nan,nan,nan,0.0574674,0.00446735,0.00446735
7,16.5103,3.48301,11.6604,2.94907,0.00268,0.07311,0.00149,0.00054,nan,nan,nan,0.0501733,0.0051733,0.0051733
8,18.7451,3.48674,11.8616,2.91227,0.00311,0.08449,0.00172,0.0004,nan,nan,nan,0.0428634,0.00586341,0.00586341
9,21.0091,3.44039,11.772,2.85105,0.00043,0.05788,0.00024,6e-05,nan,nan,nan,0.0355377,0.00653768,0.00653768
10,23.2759,3.45064,11.8179,2.89657,0.00217,0.09996,0.00103,0.0003,nan,nan,nan,0.0281961,0.00719611,0.00719611
11,25.5452,3.36914,11.6872,2.84108,0.33629,0.17018,0.00239,0.00038,nan,nan,nan,0.0208387,0.0078387,0.0078387
12,27.8396,3.39514,11.6171,2.83009,0.3402,0.05602,0.00292,0.00058,nan,nan,nan,0.0134655,0.00846545,0.00846545
13,30.1541,3.40551,11.6704,2.87741,0.34206,0.15372,0.0046,0.001,nan,nan,nan,0.008812,0.008812,0.008812
14,32.452,3.27645,11.4663,2.80572,0.33715,0.04115,0.00276,0.00062,nan,nan,nan,0.008713,0.008713,0.008713
15,34.7467,3.3456,11.5241,2.86091,0.34235,0.27585,0.00793,0.00187,nan,nan,nan,0.008614,0.008614,0.008614
16,37.1725,3.30825,11.3897,2.80646,0.40525,0.17775,0.07112,0.02116,3.81939,inf,5.39979,0.008515,0.008515,0.008515
17,39.5772,3.29179,11.3661,2.76362,0.38444,0.15372,0.04792,0.01397,3.85455,inf,5.37643,0.008416,0.008416,0.008416
18,41.849,3.23147,11.4291,2.73599,0.01369,0.20815,0.00877,0.00204,4.09555,inf,6.64758,0.008317,0.008317,0.008317
19,44.1481,3.27305,11.4759,2.71865,0.00487,0.21227,0.00386,0.00084,4.03541,inf,7.85135,0.008218,0.008218,0.008218
20,46.4459,3.27241,11.4357,2.75248,0.0045,0.25477,0.00343,0.00082,4.01705,inf,5.59822,0.008119,0.008119,0.008119
21,48.7592,3.27144,11.3984,2.72383,0.34011,0.1354,0.00547,0.00107,3.88654,75.5081,3.54193,0.00802,0.00802,0.00802
22,51.0649,3.24107,11.3173,2.65821,0.37893,0.00823,0.007,0.00227,3.78506,20.1626,3.33552,0.007921,0.007921,0.007921
23,53.3808,3.16967,11.3744,2.6311,0.34827,0.15213,0.01192,0.00329,3.59961,20.0652,3.17286,0.007822,0.007822,0.007822
24,55.7085,3.26319,11.2326,2.63876,0.34977,0.18027,0.01483,0.00262,3.43191,22.8202,3.0536,0.007723,0.007723,0.007723
25,58.0276,3.11158,11.294,2.59191,0.35981,0.23815,0.01509,0.00365,3.41184,20.7294,3.0442,0.007624,0.007624,0.007624
26,60.3493,3.11318,11.1458,2.5522,0.3445,0.19766,0.01238,0.00276,3.42336,13.8481,2.88799,0.007525,0.007525,0.007525
27,62.6641,3.10475,11.2908,2.60943,0.34447,0.26284,0.01254,0.00309,3.34485,13.3911,2.8487,0.007426,0.007426,0.007426
28,64.9915,3.11273,11.2338,2.61259,0.34555,0.36599,0.01439,0.00431,3.25938,13.4101,2.81983,0.007327,0.007327,0.007327
29,67.2881,3.07322,11.1127,2.57568,0.34629,0.30652,0.01272,0.00402,3.22695,14.7845,2.82815,0.007228,0.007228,0.007228
30,69.5664,3.09366,10.859,2.5924,0.34702,0.25209,0.01263,0.00389,3.30921,15.9193,2.88845,0.007129,0.007129,0.007129
31,71.8492,3.17103,10.9048,2.59646,0.36049,0.19103,0.02608,0.00827,3.17343,13.3735,2.76269,0.00703,0.00703,0.00703
32,74.1518,3.06514,10.886,2.55161,0.3793,0.17204,0.07154,0.02963,3.12745,12.8314,2.70639,0.006931,0.006931,0.006931
33,76.5899,3.01929,10.7554,2.54712,0.36445,0.26882,0.0473,0.01457,3.11205,12.998,2.70435,0.006832,0.006832,0.006832
34,78.9016,3.00096,10.8039,2.49569,0.36945,0.29444,0.04507,0.01414,3.11024,13.1886,2.71981,0.006733,0.006733,0.006733
35,81.2196,3.00296,10.8863,2.52668,0.36504,0.15988,0.04309,0.01661,3.09874,12.7342,2.74294,0.006634,0.006634,0.006634
36,83.5349,2.96996,10.8387,2.48807,0.4045,0.19926,0.07596,0.03642,3.08388,12.4085,2.79801,0.006535,0.006535,0.006535
37,85.9747,2.94654,10.8157,2.52511,0.35537,0.45267,0.03419,0.01236,3.11003,12.589,2.69364,0.006436,0.006436,0.006436
38,88.2975,2.90419,10.7234,2.44862,0.35369,0.22488,0.01945,0.00563,3.23342,12.9118,2.65273,0.006337,0.006337,0.006337
39,90.6162,2.94539,10.4879,2.50365,0.37084,0.23815,0.03334,0.00961,3.25769,12.6076,2.73586,0.006238,0.006238,0.006238
40,92.9306,2.88928,10.6754,2.45988,0.3963,0.2489,0.05927,0.02096,3.20318,12.2545,2.74666,0.006139,0.006139,0.006139
41,95.25,2.84409,10.7109,2.4868,0.41312,0.27705,0.09062,0.03926,3.18597,12.0093,2.72928,0.00604,0.00604,0.00604
42,97.697,2.81325,10.4951,2.43194,0.44896,0.32324,0.14832,0.06838,3.05366,11.8813,2.62058,0.005941,0.005941,0.005941
43,100.142,2.79722,10.6418,2.39151,0.42495,0.25143,0.135,0.06708,2.9506,12.0146,2.60862,0.005842,0.005842,0.005842
44,102.471,2.78206,10.4966,2.40623,0.41332,0.24731,0.12328,0.03687,2.88,12.2134,2.59331,0.005743,0.005743,0.005743
45,104.792,2.6944,10.4572,2.36213,0.42063,0.33652,0.09317,0.03431,2.83759,12.0084,2.59258,0.005644,0.005644,0.005644
46,107.119,2.65502,10.4245,2.37566,0.45156,0.33559,0.13907,0.04699,2.77701,11.6684,2.45433,0.005545,0.005545,0.005545
47,109.431,2.61733,10.4026,2.34525,0.4793,0.33307,0.14433,0.06154,2.82678,11.8984,2.47642,0.005446,0.005446,0.005446
48,111.763,2.62812,10.4176,2.32314,0.43868,0.26948,0.12773,0.05361,2.83529,11.8966,2.4877,0.005347,0.005347,0.005347
49,114.1,2.53884,10.3709,2.30343,0.43474,0.32324,0.1175,0.052,2.78281,11.7174,2.47407,0.005248,0.005248,0.005248
50,116.422,2.45868,10.3679,2.31894,0.44802,0.26218,0.15492,0.0685,2.7018,11.6587,2.44658,0.005149,0.005149,0.005149
51,118.884,2.47616,10.368,2.2836,0.43481,0.28409,0.11603,0.04786,2.74699,11.8612,2.48984,0.00505,0.00505,0.00505
52,121.215,2.50629,10.3863,2.26332,0.43758,0.31223,0.09289,0.03462,2.72819,11.7922,2.45064,0.004951,0.004951,0.004951
53,123.546,2.49148,10.308,2.2569,0.44195,0.32624,0.11871,0.03569,2.65675,11.8112,2.35185,0.004852,0.004852,0.004852
54,125.871,2.43625,10.3166,2.21722,0.44658,0.36944,0.15495,0.05056,2.57593,11.8115,2.30494,0.004753,0.004753,0.004753
55,128.178,2.38426,10.1657,2.18686,0.39432,0.24804,0.08986,0.02671,2.69794,12.1946,2.39521,0.004654,0.004654,0.004654
56,130.493,2.4065,10.1792,2.17082,0.39498,0.28208,0.06492,0.02294,2.58797,11.8753,2.35437,0.004555,0.004555,0.004555
57,132.791,2.39237,10.3237,2.20683,0.44078,0.34637,0.09338,0.03276,2.4972,11.5468,2.28299,0.004456,0.004456,0.004456
58,135.128,2.38218,10.2133,2.15988,0.4587,0.39573,0.16174,0.05337,2.45016,11.7289,2.23323,0.004357,0.004357,0.004357
59,137.461,2.37013,10.1904,2.18519,0.48439,0.44604,0.18049,0.06858,2.44088,11.6226,2.24244,0.004258,0.004258,0.004258
60,139.908,2.31876,10.2311,2.20111,0.4603,0.41564,0.16313,0.06294,2.45124,11.5289,2.25915,0.004159,0.004159,0.004159
61,142.23,2.34508,10.2727,2.20766,0.43597,0.35978,0.11389,0.05175,2.52077,11.7261,2.35295,0.00406,0.00406,0.00406
62,144.538,2.32317,10.1249,2.1378,0.38714,0.27957,0.10225,0.0471,2.49786,11.8799,2.3235,0.003961,0.003961,0.003961
63,146.861,2.30799,10.1893,2.14569,0.73637,0.30108,0.14018,0.06947,2.38801,11.5626,2.2322,0.003862,0.003862,0.003862
64,149.171,2.33415,10.1071,2.14202,0.73401,0.33333,0.1719,0.08579,2.32714,11.4243,2.16612,0.003763,0.003763,0.003763
65,151.624,2.27158,10.0266,2.14136,0.45343,0.41975,0.19704,0.10091,2.29841,11.4113,2.14347,0.003664,0.003664,0.003664
66,154.084,2.24283,9.9458,2.11943,0.44308,0.42798,0.1877,0.08992,2.38398,11.2927,2.21488,0.003565,0.003565,0.003565
67,156.41,2.15697,9.85398,2.07923,0.44958,0.41152,0.19097,0.08856,2.48546,11.2761,2.27072,0.003466,0.003466,0.003466
68,158.746,2.17014,9.85255,2.06404,0.30548,0.41978,0.16546,0.08437,2.4807,11.135,2.26312,0.003367,0.003367,0.003367
69,161.074,2.19565,10.0466,2.07713,0.43247,0.44955,0.16917,0.08557,2.41858,10.9643,2.21892,0.003268,0.003268,0.003268
70,163.391,2.20061,9.87924,2.07519,0.47618,0.42975,0.17475,0.08488,2.32874,10.8743,2.15764,0.003169,0.003169,0.003169
71,165.7,2.22299,9.92449,2.09357,0.33281,0.39353,0.19008,0.08499,2.29174,10.8362,2.12754,0.00307,0.00307,0.00307
72,168.003,2.24958,9.99314,2.10205,0.1517,0.39495,0.19546,0.08717,2.29834,10.8579,2.11624,0.002971,0.002971,0.002971
73,170.319,2.15556,9.74691,2.06243,0.15343,0.43759,0.18948,0.09229,2.26839,10.8989,2.08488,0.002872,0.002872,0.002872
74,172.621,2.15017,9.8967,2.11097,0.15336,0.44459,0.19431,0.09466,2.25042,10.9111,2.07739,0.002773,0.002773,0.002773
75,174.935,2.13994,9.83259,2.0493,0.17141,0.46928,0.22091,0.10393,2.23939,10.8279,2.06392,0.002674,0.002674,0.002674
76,177.38,2.09248,9.64969,2.04212,0.16789,0.46831,0.21056,0.10301,2.23514,10.8177,2.0424,0.002575,0.002575,0.002575
77,179.694,2.13431,9.65993,2.04146,0.15738,0.46991,0.18885,0.09576,2.25977,10.8329,2.04339,0.002476,0.002476,0.002476
78,182.005,2.14417,9.72572,2.05312,0.16876,0.45724,0.1825,0.09523,2.27453,10.8817,2.04956,0.002377,0.002377,0.002377
79,184.322,2.14111,9.51403,1.98859,0.16787,0.45037,0.1741,0.09229,2.25996,10.9003,2.04342,0.002278,0.002278,0.002278
80,186.637,2.12881,9.67561,2.02974,0.15771,0.43757,0.1693,0.09144,2.23313,10.9459,2.03436,0.002179,0.002179,0.002179
81,188.951,2.08625,9.67066,2.05747,0.16633,0.44516,0.16362,0.08729,2.23598,11.0005,2.05317,0.00208,0.00208,0.00208
82,191.269,2.13572,9.64589,2.02872,0.19683,0.46922,0.17552,0.09335,2.21759,10.8609,2.0457,0.001981,0.001981,0.001981
83,193.6,2.16589,9.74326,2.02121,0.19764,0.50563,0.20047,0.09357,2.18983,10.6461,2.02529,0.001882,0.001882,0.001882
84,195.922,2.13627,9.61016,2.00235,0.1877,0.51262,0.21107,0.1022,2.16577,10.5927,2.00825,0.001783,0.001783,0.001783
85,198.238,2.08427,9.72601,1.98804,0.18341,0.52127,0.21566,0.10491,2.16291,10.5679,2.00459,0.001684,0.001684,0.001684
86,200.7,2.07177,9.52809,1.98238,0.17888,0.52004,0.21995,0.10463,2.17072,10.6306,2.00593,0.001585,0.001585,0.001585
87,203.13,2.05604,9.56332,1.992,0.19091,0.54102,0.2323,0.10538,2.17285,10.5805,2.00702,0.001486,0.001486,0.001486
88,205.586,2.0502,9.39939,1.95291,0.18426,0.5203,0.23703,0.11123,2.16951,10.4692,2.00651,0.001387,0.001387,0.001387
89,208.076,2.08136,9.48175,1.98543,0.18231,0.51501,0.23381,0.10736,2.16034,10.4902,1.9964,0.001288,0.001288,0.001288
90,210.405,2.04786,9.49895,2.00502,0.19566,0.51098,0.24018,0.10709,2.15956,10.5557,1.99138,0.001189,0.001189,0.001189
91,213.358,2.16956,10.7892,2.11473,0.19086,0.48023,0.2306,0.09792,2.17456,10.6056,1.99644,0.00109,0.00109,0.00109
92,215.716,2.16171,10.6288,2.08741,0.20452,0.48143,0.22433,0.09588,2.18378,10.6488,1.99554,0.000991,0.000991,0.000991
93,218.016,2.18339,10.6235,2.0837,0.21169,0.4633,0.22739,0.09669,2.18567,10.6874,1.99038,0.000892,0.000892,0.000892
94,220.497,2.13408,10.3983,2.09493,0.19503,0.45844,0.22627,0.09566,2.1868,10.6919,1.98462,0.000793,0.000793,0.000793
95,222.921,2.13168,10.3441,2.11275,0.22336,0.47147,0.23352,0.09892,2.17683,10.6438,1.97583,0.000694,0.000694,0.000694
96,225.344,2.09298,10.199,2.041,0.21688,0.47322,0.24028,0.10444,2.16093,10.5637,1.96407,0.000595,0.000595,0.000595
97,227.729,2.06565,10.1586,2.02957,0.22583,0.47867,0.24573,0.11309,2.14669,10.4755,1.95514,0.000496,0.000496,0.000496
98,230.178,2.05732,9.94235,2.02205,0.22194,0.47381,0.25322,0.11816,2.13666,10.42,1.94914,0.000397,0.000397,0.000397
99,232.612,2.04936,10.0093,2.01712,0.22748,0.48615,0.26205,0.12808,2.13248,10.3734,1.94457,0.000298,0.000298,0.000298
100,235.023,2.07643,9.93858,2.01377,0.23177,0.48711,0.26915,0.13505,2.13129,10.3467,1.94394,0.000199,0.000199,0.000199
