epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.86108,3.8566,14.8782,4.21944,0.00733,0.49383,0.01427,0.00305,4.8582,14.5836,4.15918,0.0973,0.0003,0.0003
2,3.00865,3.93018,14.3439,4.11329,0.00299,0.25475,0.00608,0.00121,4.96769,14.3749,3.82945,0.0936931,0.00069307,0.00069307
3,4.4153,3.92114,12.6751,3.68019,0.00232,0.19939,0.00458,0.00086,4.50905,16.3875,3.40292,0.0900782,0.00107822,0.00107822
4,5.82087,3.74801,12.0576,3.34908,0.01179,0.2566,0.04113,0.0065,3.61646,42.675,3.16904,0.0864555,0.00145545,0.00145545
5,7.25588,3.47915,11.6958,3.0861,0.00162,0.04938,0.00641,0.00272,3.92935,33.1022,3.29455,0.0828248,0.00182476,0.00182476
6,8.6221,3.29973,11.7298,3.00693,0.00117,0.04781,0.00078,0.00015,4.07702,15.4812,3.88054,0.0791862,0.00218615,0.00218615
7,9.90235,3.26592,11.2883,2.88273,0.38595,0.25806,0.04764,0.00512,5.38624,14816,42.8587,0.0755396,0.00253962,0.00253962
8,11.1649,3.14977,11.2799,2.77187,0.38595,0.25806,0.04764,0.00512,6.62296,inf,125.083,0.0718852,0.00288517,0.00288517
9,12.4597,3.04805,11.1253,2.69572,0.38595,0.25806,0.04764,0.00512,2.13625,inf,63.8165,0.0682228,0.0032228,0.0032228
10,13.6886,3.06051,10.9301,2.71813,0.38595,0.25806,0.04764,0.00512,5.20218,inf,205.814,0.0645525,0.00355251,0.00355251
11,14.9121,2.93274,10.8445,2.63647,0.01017,0.14297,0.00642,0.00131,4.08529,inf,142.143,0.0608743,0.0038743,0.0038743
12,16.1173,2.85841,10.8272,2.54944,0.01017,0.14297,0.00642,0.00131,4.91705,inf,101.372,0.0571882,0.00418817,0.00418817
13,17.3307,2.8501,10.6685,2.55245,0.01017,0.14297,0.00642,0.00131,4.92514,599.584,62.6366,0.0534941,0.00449412,0.00449412
14,18.5259,2.76965,10.6237,2.47233,0.00346,0.05947,0.00223,0.00027,3.83195,18.5287,8.85877,0.0497922,0.00479215,0.00479215
15,19.7406,2.78565,10.3643,2.50158,0.00346,0.05947,0.00223,0.00027,5.01624,104.755,5.71032,0.0460823,0.00508226,0.00508226
16,20.9428,2.76367,10.4002,2.43965,0.00232,0.12027,0.00157,0.00033,3.90206,23.5271,4.02118,0.0423644,0.00536445,0.00536445
17,22.1396,2.71748,10.4104,2.41772,0.01499,0.11045,0.00958,0.0026,3.7999,14.3933,5.10823,0.0386387,0.00563872,0.00563872
18,23.3538,2.69528,10.5403,2.4204,0.39718,0.02151,0.01101,0.00184,4.0407,19.1477,3.35352,0.0349051,0.00590507,0.00590507
19,24.5368,2.67593,10.4495,2.3901,0.4113,0.07182,0.02671,0.00654,3.8629,18.641,3.00349,0.0311635,0.0061635,0.0061635
20,25.7395,2.62937,10.432,2.39288,0.00449,0.10137,0.00269,0.00098,3.67716,38.8281,3.08977,0.027414,0.00641401,0.00641401
21,26.9254,2.65768,10.4245,2.39017,0.0077,0.12384,0.00431,0.00118,3.66563,26.899,3.00707,0.0236566,0.0066566,0.0066566
22,28.1359,2.60169,10.3644,2.34029,0.36337,0.09677,0.02226,0.00697,3.9571,19.3,3.12765,0.0198913,0.00689127,0.00689127
23,29.3222,2.51521,10.234,2.322,0.74646,0.13203,0.07031,0.02443,3.92443,17.2478,3.13595,0.016118,0.00711802,0.00711802
24,30.5662,2.48164,10.0292,2.26424,0.01055,0.14877,0.00795,0.00217,4.03307,20.6291,3.27606,0.0123368,0.00733685,0.00733685
25,31.7784,2.4464,9.9669,2.30669,0.35027,0.09053,0.01279,0.00397,3.7263,29.0995,3.06791,0.00854776,0.00754776,0.00754776
26,32.9651,2.52386,9.86225,2.30053,0.45961,0.0835,0.0742,0.03254,3.76179,16.8566,3.26699,0.007525,0.007525,0.007525
27,34.1903,2.43165,10.1137,2.29075,0.89508,0.19355,0.20896,0.11995,3.61267,14.6844,3.39899,0.007426,0.007426,0.007426
28,35.4499,2.43144,9.88611,2.23584,0.97465,0.26138,0.29557,0.18409,3.60875,15.5531,4.08157,0.007327,0.007327,0.007327
29,36.767,2.37734,9.86761,2.22598,0.34451,0.42294,0.01046,0.00495,3.6245,43.1176,4.40089,0.007228,0.007228,0.007228
30,38.0006,2.39319,9.70585,2.25611,0.3556,0.29391,0.02029,0.00816,3.27146,38.5512,3.18267,0.007129,0.007129,0.007129
31,39.2114,2.36552,9.60329,2.21406,0.35756,0.20948,0.02279,0.00691,3.0592,18.0867,2.73858,0.00703,0.00703,0.00703
32,40.4244,2.32676,9.54706,2.14272,0.41367,0.06199,0.02972,0.0115,3.1552,15.3191,2.72541,0.006931,0.006931,0.006931
33,41.6425,2.30425,9.5265,2.15865,0.39362,0.17178,0.07148,0.03256,3.23952,15.4162,2.80116,0.006832,0.006832,0.006832
34,42.8933,2.30574,9.32354,2.15205,0.40416,0.0446,0.03913,0.01238,3.27459,16.0788,3.01984,0.006733,0.006733,0.006733
35,44.1255,2.3103,9.57406,2.15997,0.05608,0.06875,0.01648,0.00347,3.41599,14.3842,3.17516,0.006634,0.006634,0.006634
36,45.3501,2.29171,9.44917,2.14093,0.13983,0.07695,0.04406,0.01109,3.24023,13.3963,2.96556,0.006535,0.006535,0.006535
37,46.5859,2.19642,9.32981,2.10499,0.09034,0.19656,0.0604,0.01607,3.19065,13.5039,2.86151,0.006436,0.006436,0.006436
38,47.8191,2.20314,9.37922,2.10013,0.12894,0.32451,0.09572,0.04287,2.85505,12.9147,2.58537,0.006337,0.006337,0.006337
39,49.0659,2.1392,9.15749,2.0574,0.19582,0.39914,0.23983,0.13864,2.51022,11.8768,2.42947,0.006238,0.006238,0.006238
40,50.286,2.12214,9.04976,2.06064,0.20107,0.37459,0.20163,0.11092,2.47686,11.4751,2.30789,0.006139,0.006139,0.006139
41,51.5047,2.12377,9.16866,2.05525,0.2338,0.42614,0.30956,0.17288,2.59961,10.7769,2.348,0.00604,0.00604,0.00604
42,52.7265,2.16682,9.07204,2.08633,0.21419,0.43593,0.30598,0.13295,2.59759,11.102,2.36965,0.005941,0.005941,0.005941
43,53.9423,2.17364,9.07008,2.07273,0.23501,0.39988,0.26375,0.12671,2.46797,11.1968,2.19489,0.005842,0.005842,0.005842
44,55.1584,2.13962,8.95907,2.07271,0.18004,0.40826,0.2226,0.12884,2.33552,10.8007,2.07905,0.005743,0.005743,0.005743
45,56.39,2.07695,8.80221,2.03703,0.18186,0.4225,0.27342,0.17071,2.34789,10.5048,2.12862,0.005644,0.005644,0.005644
46,57.6307,2.09293,8.79849,2.05001,0.73849,0.28934,0.375,0.21311,2.41961,10.8536,2.27791,0.005545,0.005545,0.005545
47,58.9122,2.08986,8.82698,2.06598,0.6208,0.24747,0.36829,0.20404,2.37192,10.8279,2.25161,0.005446,0.005446,0.005446
48,60.1425,2.11082,8.85978,2.07811,0.26092,0.42859,0.35304,0.22532,2.34138,10.6479,2.14027,0.005347,0.005347,0.005347
49,61.4198,2.07483,8.69324,2.01082,0.93172,0.25941,0.38108,0.23918,2.34076,11.2263,2.10996,0.005248,0.005248,0.005248
50,62.7088,2.01931,8.68104,1.97202,0.58615,0.22919,0.36612,0.2278,2.29482,11.9446,2.02089,0.005149,0.005149,0.005149
51,63.9363,2.00369,8.81422,1.98287,0.8177,0.21843,0.34484,0.23131,2.40007,12.6735,2.10306,0.00505,0.00505,0.00505
52,65.1639,2.02622,8.70494,2.00179,0.64957,0.27495,0.35067,0.22752,2.44944,11.6037,2.12237,0.004951,0.004951,0.004951
53,66.4158,2.06299,8.70857,1.98719,0.68112,0.2586,0.42472,0.24191,2.47882,10.8397,2.18351,0.004852,0.004852,0.004852
54,67.71,1.93847,8.52694,1.94295,0.53132,0.32119,0.42729,0.23235,2.34661,10.2725,2.11272,0.004753,0.004753,0.004753
55,68.9637,1.90553,8.34052,1.9229,0.38113,0.42126,0.42132,0.23485,2.28005,10.7781,2.03352,0.004654,0.004654,0.004654
56,70.2222,1.92607,8.288,1.87873,0.33538,0.44924,0.34236,0.17119,2.3239,11.0191,2.04685,0.004555,0.004555,0.004555
57,71.4487,1.95706,8.36147,1.9306,0.36113,0.377,0.31927,0.16824,2.26896,10.6299,2.00465,0.004456,0.004456,0.004456
58,72.6809,1.91752,8.16131,1.92573,0.34864,0.37099,0.32759,0.16361,2.15709,10.5384,1.92181,0.004357,0.004357,0.004357
59,73.8977,1.86892,8.21365,1.89103,0.32817,0.3594,0.30051,0.15916,2.11248,10.1929,1.87961,0.004258,0.004258,0.004258
60,75.1291,1.89217,8.33545,1.90359,0.26587,0.2616,0.2461,0.12716,2.15241,10.1499,1.87264,0.004159,0.004159,0.004159
61,76.3687,1.89041,8.27875,1.89842,0.24772,0.2879,0.28207,0.16728,2.1612,9.96715,1.87029,0.00406,0.00406,0.00406
62,77.5958,1.86556,8.18527,1.85548,0.47355,0.34688,0.38983,0.23301,2.16059,9.71603,1.89102,0.003961,0.003961,0.003961
63,78.8343,1.86781,8.19307,1.85633,0.50841,0.43973,0.46548,0.28683,2.09141,9.52658,1.88829,0.003862,0.003862,0.003862
64,80.1206,1.86774,8.00552,1.86229,0.43613,0.44096,0.43638,0.2771,2.04541,9.39481,1.88541,0.003763,0.003763,0.003763
65,81.356,1.8257,7.86419,1.82113,0.41984,0.44166,0.42583,0.26765,2.11837,9.76922,1.88055,0.003664,0.003664,0.003664
66,82.5989,1.87767,7.97934,1.88063,0.33468,0.40767,0.38533,0.23845,2.20356,10.6498,1.93767,0.003565,0.003565,0.003565
67,83.849,1.83135,7.90452,1.85325,0.41484,0.38042,0.38893,0.2261,2.15788,10.0572,1.91357,0.003466,0.003466,0.003466
68,85.0794,1.8536,7.8148,1.86608,0.44071,0.34871,0.41088,0.22473,2.09919,9.78599,1.86632,0.003367,0.003367,0.003367
69,86.3118,1.7761,7.82526,1.83289,0.44712,0.42684,0.46214,0.28995,1.96858,9.55628,1.78981,0.003268,0.003268,0.003268
70,87.5954,1.76863,7.6783,1.8078,0.42165,0.43954,0.42016,0.20629,2.05225,9.81576,1.83578,0.003169,0.003169,0.003169
71,88.8229,1.80551,7.67929,1.82638,0.47885,0.4507,0.46296,0.25486,1.99993,9.48852,1.80349,0.00307,0.00307,0.00307
72,90.0406,1.80582,7.69783,1.80505,0.52396,0.44744,0.48444,0.30572,1.97567,9.22939,1.7717,0.002971,0.002971,0.002971
73,91.317,1.77421,7.68163,1.83646,0.55532,0.42888,0.48338,0.27366,1.99861,9.28636,1.78419,0.002872,0.002872,0.002872
74,92.5543,1.74094,7.69886,1.83287,0.55164,0.4379,0.47676,0.29551,1.98848,9.28795,1.75651,0.002773,0.002773,0.002773
75,93.7927,1.7455,7.61142,1.78319,0.52528,0.43041,0.46585,0.31683,1.97079,9.00216,1.74796,0.002674,0.002674,0.002674
76,95.0803,1.73308,7.39465,1.77071,0.37362,0.47652,0.46863,0.29109,1.94399,8.91284,1.72935,0.002575,0.002575,0.002575
77,96.3371,1.70542,7.34145,1.75279,0.35187,0.4493,0.47647,0.31459,1.89214,8.98381,1.69991,0.002476,0.002476,0.002476
78,97.5898,1.71725,7.46669,1.77486,0.32036,0.50452,0.4768,0.30798,1.94689,9.13997,1.73139,0.002377,0.002377,0.002377
79,98.8472,1.79496,7.26689,1.79173,0.36567,0.48889,0.46142,0.29356,1.9572,9.28455,1.73355,0.002278,0.002278,0.002278
80,100.078,1.71801,7.36372,1.72419,0.37717,0.53925,0.46414,0.30695,1.93357,9.16511,1.70912,0.002179,0.002179,0.002179
81,101.326,1.66813,7.31949,1.75336,0.44281,0.48931,0.43038,0.29289,1.95136,8.82766,1.7439,0.00208,0.00208,0.00208
82,102.569,1.71169,7.33199,1.75068,0.46421,0.49054,0.43059,0.31409,1.9137,8.89125,1.71966,0.001981,0.001981,0.001981
